REGIONS,-1.96SD,-1SD,Mean,1SD,1.96SD
CAISO,0.0,0.0,0.0,8.322559780821917,8.322559780821917
ERCOT,0.0,0.0,0.0,0.0,0.0
FRCC,3.196764493150685,0.0,3.196764493150685,0.0,0.0
ISONE,0.0,2.9128963835616437,0.0,0.0,0.0
MISO,0.0,0.0,7.118826602739726,7.118826602739726,7.118826602739726
NYISO,0.0,5.261589452054794,0.0,5.261589452054794,0.0
NorthernGridConnected,0.0,0.0,0.0,0.0,0.0
NorthernGridUnconnected,0.8352190410958904,0.8352190410958904,0.0,0.0,0.0
PJM,0.0,0.0,0.0,0.0,11.397449589041095
SCRTP,0.38451257534246575,0.0,0.38451257534246575,0.0,0.38451257534246575
SERTP,0.0,0.0,6.132121726027397,0.0,0.0
SPP,0.0,2.3351123287671234,0.0,0.0,0.0
WestConnect,1.63315498630137,0.0,0.0,1.63315498630137,0.0
WestConnectNonEnrolled,0.0,0.0,0.0,0.0,0.0
